EVENT,SEQ,FATAL
20140718X92314,Enroute-cruise - Security/criminal event,1
20140308X91420,Enroute-cruise - Unknown or undetermined,1
20151102X00423,Enroute - Unknown or undetermined,1
20141229X31803,Enroute-change of cruise level - Unknown or undetermined,1
20150324X43040,Enroute-descent - Security/criminal event,1
20100126X35439,Initial climb - Loss of control in flight,1
20160519X25150,Enroute-cruise - Unknown or undetermined,1
20160319X15123,Approach-IFR missed approach - Unknown or undetermined,1
20090213X13613,Approach-IFR initial approach - Aerodynamic stall/spin,1
20090213X13613,Approach-IFR initial approach - Attempted remediation/recovery,1
20090213X13613,Approach-IFR initial approach - Loss of control in flight,1
20090213X13613,Approach-IFR initial approach - Stall warn/stick-shaker/pusher,1
20131117X13904,Approach - Unknown or undetermined,1
20150210X13614,Takeoff - Loss of engine power (partial),1
20131202X02421,Enroute-cruise - Unknown or undetermined,1
20090217X95726,Uncontrolled descent - Unknown or undetermined,1
20160401X95257,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20101116X32303,Initial climb - Loss of engine power (partial),1
20130207X33247,Approach - Structural icing,1
20120930X21158,Takeoff - Birdstrike,1
20081004X12026,Approach - Controlled flight into terr/obj (CFIT),1
20160730X25341,Approach - Controlled flight into terr/obj (CFIT),1
20090322X90442,Enroute-cruise - Fuel related,1
20090322X90442,Maneuvering - Loss of control in flight,1
20090322X90442,Prior to flight - Aircraft servicing event,1
20120612X31159,Enroute-cruise - Miscellaneous/other,1
20131030X93511,Enroute-climb to cruise - Unknown or undetermined,1
20081230X20609,Unknown - Unknown or undetermined,1
20110917X22412,Maneuvering-low-alt flying - Aircraft structural failure,1
20110917X22412,Maneuvering-low-alt flying - Loss of control in flight,1
20110917X22412,Prior to flight - Aircraft maintenance event,1
20140707X04352,Initial climb - Loss of control in flight,1
20080904X01375,Initial climb - Collision with terr/obj (non-CFIT),1
20130321X52907,Unknown - Unknown or undetermined,1
20130707X14623,Initial climb - Aerodynamic stall/spin,1
20130707X14623,Prior to flight - Preflight or dispatch event,1
20130707X14623,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
20150320X15605,Initial climb - Loss of control in flight,1
20151020X73414,Initial climb - Loss of control in flight,1
20160112X14914,Takeoff - Unknown or undetermined,1
20080820X01266,Initial climb - Collision during takeoff/land,1
20080820X01266,Post-impact - Fire/smoke (post-impact),1
20080820X01266,Prior to flight - Aircraft loading event,1
20090808X42846,Enroute-cruise - Midair collision,1
20090808X42846,Enroute-cruise - Midair collision,1
20100614X12305,Initial climb - Loss of control in flight,1
20101006X65829,Maneuvering - Loss of control in flight,1
20110907X34750,Approach-IFR initial approach - Controlled flight into terr/obj (CFIT),1
20130307X72035,Maneuvering - Controlled flight into terr/obj (CFIT),1
20150625X15034,Enroute-cruise - Controlled flight into terr/obj (CFIT),1
20150810X83147,Maneuvering - Midair collision,1
20151110X65615,Approach-IFR final approach - Aerodynamic stall/spin,1
20151110X65615,Approach-IFR final approach - Collision with terr/obj (non-CFIT),1
20080806X01166,Landing-aborted after touchdown - Collision during takeoff/land,1
20090104X12037,Emergency descent - Loss of control in flight,1
20090104X12037,Enroute-cruise - Birdstrike,1
20090104X12037,Enroute-cruise - Loss of engine power (partial),1
20101013X94109,Approach - Unknown or undetermined,1
20120323X64925,Enroute-cruise - Loss of control in flight,1
20120731X93859,Approach-IFR final approach - Controlled flight into terr/obj (CFIT),1
20121210X91144,Enroute - Midair collision,1
20140422X61449,Approach - Unknown or undetermined,1
20160831X14546,Approach-IFR final approach - Loss of engine power (total),1
20080715X01051,Approach - Midair collision,1
20080715X01051,Uncontrolled descent - Collision with terr/obj (non-CFIT),1
